xP4]utt number,xP4]subjses,gesture description::transcript number,gesture description::utt #,gesture description::within utt sign seq,gesture description::form gloss,gesture description::utt case output,gesture description::link orig,view ar|en,view predicate,view pa|sim|pic,view re|po|lo,view pl|so|in,view oth element,xP4]utt number,utt proposition number,proposition type
81.00 ,TDC101 S02 child,,81,1,flip,flip,end (•),,,,,,,81.00 ,1,no prop
82.00 ,TDC101 S02 child,,82,1,flip,flip,end (•),,,,,,,82.00 ,1,no prop
83.00 ,TDC101 S02 child,,83,1,flip,flip,end (•),,,,,,,83.00 ,1,no prop
84.00 ,TDC101 S02 child,,84,1,flip,flip,seq (-),pm lamp,(---),,,,,84.00 ,1,existence
,,,84,2,pm lamp,en,seq (-),,,,,,,,,
,,,84,3,flip,flip,seq (-),,,,,,,,,
,,,84,4,tap,tap,seq (-),,,,,,,,,
,,,84,5,tap,tap,seq (-),,,,,,,,,
,,,84,6,pm lamp,en,seq (-),,,,,,,,,
,,,84,7,pm lamp,en,end (•),,,,,,,,,
85.00 ,TDC101 S02 child,,85,1,flip,flip,seq (-),self,(---),,,,,85.00 ,1,existence
,,,85,2,self,en,sim (+),,,,,,,,,
,,,85,3,shrug,shrug,seq (-),,,,,,,,,
,,,85,4,flip,flip,end (•),,,,,,,,,
86.00 ,TDC101 S02 child,,86,1,self,en,end (•),self,(---),,,,,86.00 ,1,existence
86.50 ,TDC101 S02 child,,86.5,1,B-rejection,B-rejection,end (•),,,,,,,86.50 ,1,no prop
87.00 ,TDC101 S02 child,,87,1,nod,nod,end (•),,,,,,,87.00 ,1,no prop
88.00 ,TDC101 S02 child,,88,1,B-rejection,B-rejection,seq (-),,,,,,,88.00 ,1,no prop
,,,88,2,B-rejection,B-rejection,end (•),,,,,,,,,
89.00 ,TDC101 S02 child,,89,1,flip,flip,end (•),,,,,,,89.00 ,1,no prop
90.00 ,TDC101 S02 child,,90,1,pm tv,en,seq (-),pm tv,(---),,,,,90.00 ,1,existence
,,,90,2,pm TV screen,en,end (•),,,,,,,,,
91.00 ,TDC101 S02 child,,91,1,TV,en,seq (-),TV,(IS LIKE),pm TV,,,,91.00 ,1,similarity
,,,91,2,pm TV,sim,seq (-),,,,,,,,,
,,,91,3,TV,en,seq (-),,,,,,,,,
,,,91,4,pm TV,sim,seq (-),,,,,,,,,
,,,91,5,TV,en,end (•),,,,,,,,,
92.00 ,TDC101 S02 child,,92,1,SLEEP,ac,seq (-),(someone),SLEEP,,,,,92.00 ,1,perform
,,,92,2,SLEEP,ac,seq (-),,,,,,,,,
,,,92,3,SLEEP,ac,end (•),,,,,,,,,
93.00 ,TDC101 S02 child,,93,1,shrug,shrug,sim (+),self,(sleeps),,,pm beds | |,,93.00 ,1,perform
,,,93,2,flip,flip,seq (-),,,,,,,,,
,,,93,3,self,ar,seq (-),,,,,,,,,
,,,93,4,pm beds,pla,seq (-),,,,,,,,,
,,,93,5,pm beds,pla,seq (-),,,,,,,,,
,,,93,6,self,ar,end (•),,,,,,,,,
94.00 ,TDC101 S02 child,,94,1,couch,en,end (•),couch,(---),,,,,94.00 ,1,existence
95.00 ,TDC101 S02 child,,95,1,pm toys ,en,end (•),pm toys ,(---),,,,,95.00 ,1,existence
